Company,Pattern,Time Frame,Created Date & Time,Open,High,Low,Close,Volume
TCS,5min,Hammer,2025-10-02 15:20:00,4037.7,4038.2,4032.6,4036.2,34298.0
TCS,5min,Hammer,2025-10-03 09:45:00,3618.9,3619.55,3614.4,3618.15,17538.0
TCS,5min,Hammer,2025-10-03 10:05:00,3608.0,3608.5,3600.5,3606.0,15718.0
TCS,5min,Three White Soldiers,2025-10-03 10:40:00,3601.65,3604.85,3598.75,3603.25,14059.0
TCS,5min,Hammer,2025-10-03 11:10:00,3617.5,3617.5,3613.45,3616.85,6141.0
TCS,5min,Evening Star,2025-10-06 10:00:00,3457.2,3460.0,3451.1,3452.5,41483.0
TCS,5min,Hammer,2025-10-06 10:05:00,3452.5,3452.6,3445.1,3450.5,46392.0
TCS,5min,Fishing Window,2025-10-06 11:10:00,3464.9,3469.9,3464.8,3469.9,12238.0
TCS,5min,Hammer,2025-10-06 11:20:00,3474.9,3475.0,3470.9,3474.5,29626.0
TCS,5min,Hammer,2025-10-06 13:35:00,3462.0,3462.7,3460.0,3462.4,214366.0
TCS,5min,Hammer,2025-10-07 10:10:00,3385.4,3386.9,3382.0,3386.9,19821.0
TCS,5min,Hammer,2025-10-07 10:30:00,3384.3,3384.5,3382.1,3383.7,14589.0
TCS,5min,Hammer,2025-10-07 13:45:00,3369.5,3370.3,3368.0,3370.0,20038.0
TCS,5min,Hammer,2025-10-07 14:40:00,3385.9,3386.9,3382.9,3386.5,59347.0
TCS,5min,Fishing Window,2025-10-07 15:20:00,3384.5,3394.0,3383.6,3393.5,120005.0
TCS,5min,Hammer,2025-11-02 09:55:00,4035.5,4036.0,4029.0,4034.85,11310.0
TCS,5min,Hammer,2025-11-02 14:20:00,3966.65,3967.1,3960.2,3965.6,14437.0
TCS,5min,Hammer,2025-11-02 15:25:00,3965.7,3967.4,3962.05,3967.0,27596.0
TCS,5min,Hammer,2025-11-03 11:45:00,3561.8,3562.95,3560.0,3562.65,15895.0
TCS,5min,Hammer,2025-11-03 12:50:00,3564.05,3565.0,3562.0,3565.0,12934.0
TCS,5min,Hammer,2025-11-03 13:45:00,3565.55,3567.0,3563.0,3566.35,17495.0
TCS,5min,Hammer,2025-11-04 09:50:00,3264.9,3266.9,3258.0,3262.85,55805.0
